type,date,value,unit,position
FAT_FREE_MASS,"2025-08-24 09:50:16",64,
"Fat Free Percent","2025-08-24 09:50:16",87,
MUSCLE_PERCENT,"2025-08-24 09:50:16",82,
BONE_PERCENT,"2025-08-24 09:50:16",4,
WATER_PERCENT,"2025-08-24 09:50:16",59,
FAT_PERCENT,"2025-08-23 09:13:59",13,
FAT_FREE_MASS,"2025-08-23 09:13:59",63,
"Fat Free Percent","2025-08-23 09:13:59",87,
MUSCLE_PERCENT,"2025-08-23 09:13:59",82,
BONE_PERCENT,"2025-08-23 09:13:59",4,
WATER_PERCENT,"2025-08-23 09:13:59",59,
FAT_PERCENT,"2025-08-19 11:18:02",13,
FAT_FREE_MASS,"2025-08-19 11:18:02",63,
"Fat Free Percent","2025-08-19 11:18:02",87,
MUSCLE_PERCENT,"2025-08-19 11:18:02",83,
BONE_PERCENT,"2025-08-19 11:18:02",4,
WATER_PERCENT,"2025-08-19 11:18:02",59,
FAT_PERCENT,"2025-08-18 10:43:05",13,
FAT_FREE_MASS,"2025-08-18 10:43:05",63,
"Fat Free Percent","2025-08-18 10:43:05",87,
MUSCLE_PERCENT,"2025-08-18 10:43:05",83,
BONE_PERCENT,"2025-08-18 10:43:05",4,
WATER_PERCENT,"2025-08-18 10:43:05",59,
FAT_PERCENT,"2025-08-16 09:58:30",13,
FAT_FREE_MASS,"2025-08-16 09:58:30",63,
"Fat Free Percent","2025-08-16 09:58:30",87,
MUSCLE_PERCENT,"2025-08-16 09:58:30",83,
BONE_PERCENT,"2025-08-16 09:58:30",4,
WATER_PERCENT,"2025-08-16 09:58:30",59,
FAT_PERCENT,"2025-08-15 07:24:44",13,
FAT_FREE_MASS,"2025-08-15 07:24:44",64,
"Fat Free Percent","2025-08-15 07:24:44",87,
MUSCLE_PERCENT,"2025-08-15 07:24:44",83,
BONE_PERCENT,"2025-08-15 07:24:44",4,
WATER_PERCENT,"2025-08-15 07:24:44",59,
FAT_PERCENT,"2025-08-12 10:53:37",13,
FAT_FREE_MASS,"2025-08-12 10:53:37",63,
"Fat Free Percent","2025-08-12 10:53:37",87,
MUSCLE_PERCENT,"2025-08-12 10:53:37",83,
BONE_PERCENT,"2025-08-12 10:53:37",4,
WATER_PERCENT,"2025-08-12 10:53:37",59,
FAT_PERCENT,"2025-08-09 09:41:13",13,
FAT_FREE_MASS,"2025-08-09 09:41:13",63,
"Fat Free Percent","2025-08-09 09:41:13",87,
MUSCLE_PERCENT,"2025-08-09 09:41:13",82,
BONE_PERCENT,"2025-08-09 09:41:13",4,
WATER_PERCENT,"2025-08-09 09:41:13",58,
FAT_PERCENT,"2025-08-03 09:50:46",13,
FAT_FREE_MASS,"2025-08-03 09:50:46",63,
"Fat Free Percent","2025-08-03 09:50:46",87,
MUSCLE_PERCENT,"2025-08-03 09:50:46",83,
BONE_PERCENT,"2025-08-03 09:50:46",4,
WATER_PERCENT,"2025-08-03 09:50:46",59,
FAT_PERCENT,"2025-07-27 11:29:59",12,
FAT_FREE_MASS,"2025-07-27 11:29:59",63,
"Fat Free Percent","2025-07-27 11:29:59",88,
MUSCLE_PERCENT,"2025-07-27 11:29:59",83,
BONE_PERCENT,"2025-07-27 11:29:59",4,
WATER_PERCENT,"2025-07-27 11:29:59",60,
FAT_PERCENT,"2025-07-25 11:09:17",13,
FAT_FREE_MASS,"2025-07-25 11:09:17",62,
"Fat Free Percent","2025-07-25 11:09:17",87,
MUSCLE_PERCENT,"2025-07-25 11:09:17",83,
BONE_PERCENT,"2025-07-25 11:09:17",4,
WATER_PERCENT,"2025-07-25 11:09:17",59,
FAT_PERCENT,"2025-07-16 08:09:04",13,
FAT_FREE_MASS,"2025-07-16 08:09:04",63,
"Fat Free Percent","2025-07-16 08:09:04",87,
MUSCLE_PERCENT,"2025-07-16 08:09:04",83,
BONE_PERCENT,"2025-07-16 08:09:04",4,
WATER_PERCENT,"2025-07-16 08:09:04",59,
FAT_PERCENT,"2025-07-15 07:49:13",12,
FAT_FREE_MASS,"2025-07-15 07:49:13",63,
"Fat Free Percent","2025-07-15 07:49:13",88,
MUSCLE_PERCENT,"2025-07-15 07:49:13",83,
BONE_PERCENT,"2025-07-15 07:49:13",4,
WATER_PERCENT,"2025-07-15 07:49:13",60,
FAT_PERCENT,"2025-07-03 09:12:54",12,
FAT_FREE_MASS,"2025-07-03 09:12:54",62,
"Fat Free Percent","2025-07-03 09:12:54",88,
MUSCLE_PERCENT,"2025-07-03 09:12:54",84,
BONE_PERCENT,"2025-07-03 09:12:54",4,
WATER_PERCENT,"2025-07-03 09:12:54",60,
FAT_PERCENT,"2025-06-17 07:17:47",13,
FAT_FREE_MASS,"2025-06-17 07:17:47",64,
"Fat Free Percent","2025-06-17 07:17:47",87,
MUSCLE_PERCENT,"2025-06-17 07:17:47",83,
BONE_PERCENT,"2025-06-17 07:17:47",4,
WATER_PERCENT,"2025-06-17 07:17:47",59,
FAT_PERCENT,"2025-06-09 15:34:30",12,
FAT_FREE_MASS,"2025-06-09 15:34:30",62,
"Fat Free Percent","2025-06-09 15:34:30",88,
MUSCLE_PERCENT,"2025-06-09 15:34:30",84,
BONE_PERCENT,"2025-06-09 15:34:30",4,
WATER_PERCENT,"2025-06-09 15:34:30",60,
FAT_PERCENT,"2025-04-27 08:53:44",12,
FAT_FREE_MASS,"2025-04-27 08:53:44",63,
"Fat Free Percent","2025-04-27 08:53:44",88,
MUSCLE_PERCENT,"2025-04-27 08:53:44",83,
BONE_PERCENT,"2025-04-27 08:53:44",4,
WATER_PERCENT,"2025-04-27 08:53:44",59,
FAT_PERCENT,"2025-04-15 15:33:26",11,
FAT_FREE_MASS,"2025-04-15 15:33:26",64,
"Fat Free Percent","2025-04-15 15:33:26",89,
MUSCLE_PERCENT,"2025-04-15 15:33:26",84,
BONE_PERCENT,"2025-04-15 15:33:26",4,
WATER_PERCENT,"2025-04-15 15:33:26",61,
FAT_PERCENT,"2025-04-14 09:18:01",12,
FAT_FREE_MASS,"2025-04-14 09:18:01",64,
"Fat Free Percent","2025-04-14 09:18:01",88,
MUSCLE_PERCENT,"2025-04-14 09:18:01",84,
BONE_PERCENT,"2025-04-14 09:18:01",4,
WATER_PERCENT,"2025-04-14 09:18:01",60,
FAT_PERCENT,"2025-04-13 22:49:55",11,
FAT_FREE_MASS,"2025-04-13 22:49:55",65,
"Fat Free Percent","2025-04-13 22:49:55",89,
MUSCLE_PERCENT,"2025-04-13 22:49:55",84,
BONE_PERCENT,"2025-04-13 22:49:55",4,
WATER_PERCENT,"2025-04-13 22:49:55",61,
FAT_PERCENT,"2025-03-07 09:36:15",12,
FAT_FREE_MASS,"2025-03-07 09:36:15",63,
"Fat Free Percent","2025-03-07 09:36:15",88,
MUSCLE_PERCENT,"2025-03-07 09:36:15",83,
BONE_PERCENT,"2025-03-07 09:36:15",4,
WATER_PERCENT,"2025-03-07 09:36:15",59,
FAT_PERCENT,"2025-02-23 10:26:43",11,
FAT_FREE_MASS,"2025-02-23 10:26:43",62,
"Fat Free Percent","2025-02-23 10:26:43",89,
MUSCLE_PERCENT,"2025-02-23 10:26:43",84,
BONE_PERCENT,"2025-02-23 10:26:43",4,
WATER_PERCENT,"2025-02-23 10:26:43",61,
FAT_PERCENT,"2025-02-10 11:25:42",11,
FAT_FREE_MASS,"2025-02-10 11:25:42",62,
"Fat Free Percent","2025-02-10 11:25:42",89,
MUSCLE_PERCENT,"2025-02-10 11:25:42",84,
BONE_PERCENT,"2025-02-10 11:25:42",4,
WATER_PERCENT,"2025-02-10 11:25:42",61,
FAT_PERCENT,"2025-01-29 11:09:55",11,
FAT_FREE_MASS,"2025-01-29 11:09:55",62,
"Fat Free Percent","2025-01-29 11:09:55",89,
MUSCLE_PERCENT,"2025-01-29 11:09:55",84,
BONE_PERCENT,"2025-01-29 11:09:55",4,
WATER_PERCENT,"2025-01-29 11:09:55",60,
FAT_PERCENT,"2025-01-28 11:27:42",11,
FAT_FREE_MASS,"2025-01-28 11:27:42",62,
"Fat Free Percent","2025-01-28 11:27:42",89,
MUSCLE_PERCENT,"2025-01-28 11:27:42",84,
BONE_PERCENT,"2025-01-28 11:27:42",4,
WATER_PERCENT,"2025-01-28 11:27:42",61,
FAT_PERCENT,"2025-01-26 11:01:48",11,
FAT_FREE_MASS,"2025-01-26 11:01:48",63,
"Fat Free Percent","2025-01-26 11:01:48",89,
MUSCLE_PERCENT,"2025-01-26 11:01:48",84,
BONE_PERCENT,"2025-01-26 11:01:48",4,
WATER_PERCENT,"2025-01-26 11:01:48",61,
FAT_PERCENT,"2025-01-19 21:39:02",10,
FAT_FREE_MASS,"2025-01-19 21:39:02",62,
"Fat Free Percent","2025-01-19 21:39:02",90,
MUSCLE_PERCENT,"2025-01-19 21:39:02",85,
BONE_PERCENT,"2025-01-19 21:39:02",4,
WATER_PERCENT,"2025-01-19 21:39:02",62,
FAT_PERCENT,"2025-01-16 11:41:40",11,
FAT_FREE_MASS,"2025-01-16 11:41:40",62,
"Fat Free Percent","2025-01-16 11:41:40",89,
MUSCLE_PERCENT,"2025-01-16 11:41:40",85,
BONE_PERCENT,"2025-01-16 11:41:40",4,
WATER_PERCENT,"2025-01-16 11:41:40",61,
FAT_PERCENT,"2025-01-11 11:47:37",11,
FAT_FREE_MASS,"2025-01-11 11:47:37",62,
"Fat Free Percent","2025-01-11 11:47:37",89,
MUSCLE_PERCENT,"2025-01-11 11:47:37",84,
BONE_PERCENT,"2025-01-11 11:47:37",4,
WATER_PERCENT,"2025-01-11 11:47:37",60,
FAT_PERCENT,"2024-12-24 09:59:44",11,
FAT_FREE_MASS,"2024-12-24 09:59:44",62,
"Fat Free Percent","2024-12-24 09:59:44",89,
MUSCLE_PERCENT,"2024-12-24 09:59:44",85,
BONE_PERCENT,"2024-12-24 09:59:44",4,
WATER_PERCENT,"2024-12-24 09:59:44",61,
FAT_PERCENT,"2024-12-08 08:09:29",11,
FAT_FREE_MASS,"2024-12-08 08:09:29",63,
"Fat Free Percent","2024-12-08 08:09:29",89,
MUSCLE_PERCENT,"2024-12-08 08:09:29",85,
BONE_PERCENT,"2024-12-08 08:09:29",4,
WATER_PERCENT,"2024-12-08 08:09:29",61,
FAT_PERCENT,"2024-12-07 10:13:37",11,
FAT_FREE_MASS,"2024-12-07 10:13:37",62,
"Fat Free Percent","2024-12-07 10:13:37",89,
MUSCLE_PERCENT,"2024-12-07 10:13:37",85,
BONE_PERCENT,"2024-12-07 10:13:37",4,
WATER_PERCENT,"2024-12-07 10:13:37",61,
FAT_PERCENT,"2024-12-05 10:51:09",11,
FAT_FREE_MASS,"2024-12-05 10:51:09",62,
"Fat Free Percent","2024-12-05 10:51:09",89,
MUSCLE_PERCENT,"2024-12-05 10:51:09",85,
BONE_PERCENT,"2024-12-05 10:51:09",4,
WATER_PERCENT,"2024-12-05 10:51:09",61,
FAT_PERCENT,"2024-12-04 00:26:24",9,
FAT_FREE_MASS,"2024-12-04 00:26:24",64,
"Fat Free Percent","2024-12-04 00:26:24",91,
MUSCLE_PERCENT,"2024-12-04 00:26:24",86,
BONE_PERCENT,"2024-12-04 00:26:24",5,
WATER_PERCENT,"2024-12-04 00:26:24",64,
FAT_PERCENT,"2024-11-26 10:56:39",10,
FAT_FREE_MASS,"2024-11-26 10:56:39",62,
"Fat Free Percent","2024-11-26 10:56:39",90,
MUSCLE_PERCENT,"2024-11-26 10:56:39",85,
BONE_PERCENT,"2024-11-26 10:56:39",5,
WATER_PERCENT,"2024-11-26 10:56:39",62,
FAT_PERCENT,"2024-11-25 11:22:37",11,
FAT_FREE_MASS,"2024-11-25 11:22:37",62,
"Fat Free Percent","2024-11-25 11:22:37",89,
MUSCLE_PERCENT,"2024-11-25 11:22:37",85,
BONE_PERCENT,"2024-11-25 11:22:37",4,
WATER_PERCENT,"2024-11-25 11:22:37",61,
FAT_PERCENT,"2024-11-13 08:19:22",11,
FAT_FREE_MASS,"2024-11-13 08:19:22",63,
"Fat Free Percent","2024-11-13 08:19:22",89,
MUSCLE_PERCENT,"2024-11-13 08:19:22",84,
BONE_PERCENT,"2024-11-13 08:19:22",4,
WATER_PERCENT,"2024-11-13 08:19:22",61,
FAT_PERCENT,"2024-11-12 10:39:01",11,
FAT_FREE_MASS,"2024-11-12 10:39:01",62,
"Fat Free Percent","2024-11-12 10:39:01",89,
MUSCLE_PERCENT,"2024-11-12 10:39:01",85,
BONE_PERCENT,"2024-11-12 10:39:01",4,
WATER_PERCENT,"2024-11-12 10:39:01",61,
FAT_PERCENT,"2024-11-08 08:43:08",10,
FAT_FREE_MASS,"2024-11-08 08:43:08",62,
"Fat Free Percent","2024-11-08 08:43:08",90,
MUSCLE_PERCENT,"2024-11-08 08:43:08",85,
BONE_PERCENT,"2024-11-08 08:43:08",4,
WATER_PERCENT,"2024-11-08 08:43:08",61,
FAT_PERCENT,"2024-10-04 13:00:25",11,
FAT_FREE_MASS,"2024-10-04 13:00:25",61,
"Fat Free Percent","2024-10-04 13:00:25",89,
MUSCLE_PERCENT,"2024-10-04 13:00:25",85,
BONE_PERCENT,"2024-10-04 13:00:25",4,
WATER_PERCENT,"2024-10-04 13:00:25",61,
FAT_PERCENT,"2024-10-03 11:27:19",9,
FAT_FREE_MASS,"2024-10-03 11:27:19",62,
"Fat Free Percent","2024-10-03 11:27:19",91,
MUSCLE_PERCENT,"2024-10-03 11:27:19",87,
BONE_PERCENT,"2024-10-03 11:27:19",5,
WATER_PERCENT,"2024-10-03 11:27:19",63,
FAT_PERCENT,"2024-09-28 11:45:01",11,
FAT_FREE_MASS,"2024-09-28 11:45:01",62,
"Fat Free Percent","2024-09-28 11:45:01",89,
MUSCLE_PERCENT,"2024-09-28 11:45:01",85,
BONE_PERCENT,"2024-09-28 11:45:01",4,
WATER_PERCENT,"2024-09-28 11:45:01",61,
FAT_PERCENT,"2024-09-18 10:28:00",10,
FAT_FREE_MASS,"2024-09-18 10:28:00",61,
"Fat Free Percent","2024-09-18 10:28:00",90,
MUSCLE_PERCENT,"2024-09-18 10:28:00",85,
BONE_PERCENT,"2024-09-18 10:28:00",4,
WATER_PERCENT,"2024-09-18 10:28:00",61,
FAT_PERCENT,"2024-09-14 09:41:43",10,
FAT_FREE_MASS,"2024-09-14 09:41:43",62,
"Fat Free Percent","2024-09-14 09:41:43",90,
MUSCLE_PERCENT,"2024-09-14 09:41:43",85,
BONE_PERCENT,"2024-09-14 09:41:43",4,
WATER_PERCENT,"2024-09-14 09:41:43",61,
FAT_PERCENT,"2024-09-13 10:45:15",11,
FAT_FREE_MASS,"2024-09-13 10:45:15",61,
"Fat Free Percent","2024-09-13 10:45:15",89,
MUSCLE_PERCENT,"2024-09-13 10:45:15",85,
BONE_PERCENT,"2024-09-13 10:45:15",4,
WATER_PERCENT,"2024-09-13 10:45:15",61,
FAT_PERCENT,"2024-09-07 09:32:09",11,
FAT_FREE_MASS,"2024-09-07 09:32:09",62,
"Fat Free Percent","2024-09-07 09:32:09",89,
MUSCLE_PERCENT,"2024-09-07 09:32:09",85,
BONE_PERCENT,"2024-09-07 09:32:09",4,
WATER_PERCENT,"2024-09-07 09:32:09",61,
FAT_PERCENT,"2024-09-06 21:34:42",9,
FAT_FREE_MASS,"2024-09-06 21:34:42",63,
"Fat Free Percent","2024-09-06 21:34:42",91,
MUSCLE_PERCENT,"2024-09-06 21:34:42",86,
BONE_PERCENT,"2024-09-06 21:34:42",5,
WATER_PERCENT,"2024-09-06 21:34:42",63,
FAT_PERCENT,"2024-09-03 09:51:39",10,
FAT_FREE_MASS,"2024-09-03 09:51:39",62,
"Fat Free Percent","2024-09-03 09:51:39",90,
MUSCLE_PERCENT,"2024-09-03 09:51:39",85,
BONE_PERCENT,"2024-09-03 09:51:39",5,
WATER_PERCENT,"2024-09-03 09:51:39",62,
FAT_PERCENT,"2024-08-31 10:57:14",10,
FAT_FREE_MASS,"2024-08-31 10:57:14",62,
"Fat Free Percent","2024-08-31 10:57:14",90,
MUSCLE_PERCENT,"2024-08-31 10:57:14",85,
BONE_PERCENT,"2024-08-31 10:57:14",5,
WATER_PERCENT,"2024-08-31 10:57:14",62,
FAT_PERCENT,"2024-08-29 09:55:57",10,
FAT_FREE_MASS,"2024-08-29 09:55:57",62,
"Fat Free Percent","2024-08-29 09:55:57",90,
MUSCLE_PERCENT,"2024-08-29 09:55:57",86,
BONE_PERCENT,"2024-08-29 09:55:57",5,
WATER_PERCENT,"2024-08-29 09:55:57",62,
FAT_PERCENT,"2024-07-16 12:24:48",9,
FAT_FREE_MASS,"2024-07-16 12:24:48",60,
"Fat Free Percent","2024-07-16 12:24:48",91,
MUSCLE_PERCENT,"2024-07-16 12:24:48",86,
